"Area","Year","Total","0-14","15-24","25-44","45-64","65-74","75-"
"MK02 Southwest Finland","2045",546937,64943,50896,143347,146258,58306,83187
"Aura","2045",4110,618,302,945,1121,481,643
"Kaarina","2045",45543,7083,3480,11236,12537,4754,6453
"Kimito�n","2045",5922,511,308,922,1608,1018,1555
"Koski Tl","2045",1940,218,149,384,522,240,427
"Kustavi","2045",1131,67,36,138,350,225,315
"Laitila","2045",8036,935,553,1967,2311,952,1318
"Lieto","2045",23760,3591,1672,5790,6618,2529,3560
"Loimaa","2045",13836,1492,1013,2792,3678,1770,3091
"Marttila","2045",1796,217,110,361,556,247,305
"Masku","2045",10329,1571,678,2432,2961,1199,1488
"Myn�m�ki","2045",7166,944,460,1552,1922,879,1409
"Naantali","2045",23420,2884,1484,4754,6744,3066,4488
"Nousiainen","2045",4722,710,345,1143,1308,538,678
"Orip��","2045",1260,166,96,271,344,152,231
"Paimio","2045",12753,1955,935,3073,3556,1349,1885
"Pargas","2045",14762,1688,944,2854,4202,2062,3012
"Pyh�ranta","2045",1726,227,102,381,481,207,328
"P�yty�","2045",7808,1085,551,1710,2078,929,1455
"Raisio","2045",29934,3863,2286,7586,8524,3169,4506
"Rusko","2045",7019,1128,491,1640,1978,708,1074
"Salo","2045",48482,4758,3278,9445,13536,7002,10463
"Sauvo","2045",3064,361,163,662,931,383,564
"Somero","2045",7611,696,442,1292,2163,1200,1818
"Taivassalo","2045",1947,173,84,354,598,295,443
"Turku","2045",243698,26370,29916,76101,61647,21131,28533
"Uusikaupunki","2045",12899,1376,894,3058,3345,1526,2700
"Vehmaa","2045",2263,256,124,504,639,295,445
